Country Name,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,6.373,6.18,5.977,5.77,5.562,5.359,5.163,4.976,4.8,4.633,4.473
Albania,1.654,1.652,1.66,1.673,1.684,1.69,1.688,1.677,1.659,1.638,1.617
Algeria,2.728,2.799,2.86,2.909,2.952,2.99,3.022,3.043,3.052,3.045,3.023
Angola,6.32,6.26,6.194,6.12,6.039,5.953,5.864,5.774,5.686,5.6,5.519
Antigua and Barbuda,2.005,1.993,1.988,1.989,1.993,1.998,2.001,2.003,2.003,1.999,1.994
Argentina,2.366,2.355,2.346,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261
Armenia,1.712,1.719,1.722,1.724,1.725,1.728,1.732,1.738,1.744,1.75,1.755
Aruba,1.759,1.761,1.768,1.779,1.795,1.813,1.834,1.854,1.872,1.886,1.896
Australia,1.984,1.971,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74
Austria,1.42,1.39,1.44,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47
Azerbaijan,1.9,1.82,1.92,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73
"Bahamas, The",1.881,1.877,1.865,1.847,1.828,1.81,1.794,1.782,1.771,1.762,1.752
Bahrain,2.241,2.197,2.164,2.139,2.118,2.098,2.078,2.056,2.033,2.01,1.987
Bangladesh,2.449,2.382,2.324,2.273,2.228,2.188,2.152,2.12,2.09,2.062,2.036
Barbados,1.735,1.711,1.687,1.665,1.645,1.63,1.62,1.614,1.613,1.615,1.619
Belarus,1.488,1.509,1.494,1.515,1.62,1.668,1.696,1.724,1.733,1.541,1.448
Belgium,1.85,1.84,1.86,1.81,1.8,1.76,1.74,1.7,1.68,1.65,1.62
Belize,2.816,2.749,2.69,2.638,2.588,2.539,2.489,2.439,2.391,2.346,2.307
Benin,5.469,5.416,5.362,5.305,5.246,5.183,5.116,5.047,4.977,4.906,4.836
Bermuda,1.77,1.76,1.76,1.59,1.59,1.63,1.63,1.62,1.61,1.6,1.6
Bhutan,2.48,2.387,2.301,2.224,2.159,2.107,2.067,2.037,2.014,1.994,1.975
Bolivia,3.364,3.287,3.213,3.143,3.076,3.01,2.947,2.886,2.829,2.777,2.73
Bosnia and Herzegovina,1.303,1.311,1.315,1.315,1.313,1.309,1.303,1.296,1.286,1.276,1.265
Botswana,3.034,3.026,3.022,3.017,3.011,3.002,2.988,2.968,2.942,2.91,2.874
Brazil,1.847,1.818,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,1.73
Brunei Darussalam,1.918,1.921,1.937,1.957,1.973,1.978,1.969,1.947,1.915,1.881,1.848
Bulgaria,1.56,1.66,1.57,1.51,1.5,1.48,1.53,1.53,1.54,1.56,1.56
Burkina Faso,6.036,5.953,5.867,5.781,5.693,5.606,5.521,5.436,5.353,5.271,5.189
Burundi,6.352,6.267,6.179,6.088,5.994,5.897,5.797,5.697,5.599,5.502,5.41
Cabo Verde,2.687,2.629,2.581,2.539,2.5,2.463,2.425,2.385,2.346,2.309,2.274
Cambodia,3.018,2.947,2.875,2.804,2.739,2.682,2.633,2.593,2.559,2.53,2.503
Cameroon,5.219,5.167,5.111,5.049,4.984,4.916,4.847,4.777,4.708,4.639,4.572
Canada,1.6808,1.668,1.6269,1.61,1.6142,1.587,1.5818,1.563,1.5433,1.4961,1.4988
Central African Republic,5.289,5.254,5.215,5.172,5.123,5.068,5.007,4.941,4.87,4.796,4.721
Chad,6.803,6.699,6.592,6.482,6.372,6.262,6.154,6.049,5.947,5.846,5.747
Chile,1.895,1.892,1.884,1.87,1.849,1.821,1.787,1.75,1.713,1.678,1.649
China,1.62,1.623,1.627,1.632,1.639,1.647,1.656,1.665,1.675,1.683,1.69
Colombia,2.081,2.033,1.992,1.958,1.93,1.905,1.883,1.863,1.843,1.825,1.807
Comoros,4.87,4.813,4.754,4.693,4.628,4.561,4.491,4.419,4.347,4.275,4.205
"Congo, Dem. Rep.",6.621,6.587,6.544,6.493,6.432,6.363,6.287,6.203,6.112,6.017,5.919
"Congo, Rep.",4.798,4.784,4.765,4.742,4.712,4.676,4.634,4.587,4.536,4.482,4.428
Costa Rica,1.923,1.903,1.885,1.869,1.853,1.838,1.823,1.806,1.789,1.772,1.754
Cote d'Ivoire,5.221,5.152,5.088,5.029,4.974,4.92,4.867,4.813,4.759,4.704,4.649
Croatia,1.55,1.58,1.55,1.48,1.51,1.46,1.46,1.4,1.42,1.42,1.47
Cuba,1.602,1.624,1.647,1.668,1.683,1.689,1.686,1.674,1.656,1.637,1.618
Cyprus,1.461,1.443,1.424,1.406,1.39,1.376,1.364,1.354,1.345,1.337,1.329
Czech Republic,1.51,1.51,1.51,1.43,1.45,1.46,1.53,1.57,1.63,1.69,1.71
Denmark,1.89,1.84,1.87,1.75,1.73,1.67,1.69,1.71,1.79,1.75,1.73
